Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),AccAll,Force
228,5.85,-27.68,37.97,-0.012,-0.144,0.046,0.15164432069813888,0.6173667762102282
229,5.89,-27.72,37.26,-0.021,-0.147,0.05,0.15668439615992397,0.6378856794264745
230,5.92,-27.76,36.51,-0.028,-0.139,0.068,0.15725457068079135,0.6402069454271037
231,6.04,-27.78,35.67,-0.02,-0.128,0.085,0.1549483785007123,0.6308180911331749
232,6.23,-27.88,34.79,-0.026,-0.146,0.092,0.17451647486698785,0.7104827466547375
233,6.41,-28.18,33.93,-0.074,-0.169,0.084,0.20271408436514718,0.8252794445631689
234,6.68,-28.48,32.96,-0.077,-0.185,0.053,0.2072751794113323,0.8438483466604455
235,7.02,-28.72,31.88,-0.046,-0.204,0.021,0.21017373765530267,0.8556488120553856
236,7.31,-28.96,30.88,0.005,-0.207,-0.019,0.20793027677565382,0.8465153462952031
237,7.67,-29.08,29.81,0.006,-0.22,-0.072,0.23155992744859807,0.9427151986323601
238,8.09,-29.06,28.65,-0.026,-0.248,-0.102,0.2694141792853524,1.0968255359975623
239,8.52,-28.92,27.40,-0.041,-0.264,-0.111,0.28930606630349115,1.1778083918314581
240,8.85,-28.77,26.13,-0.039,-0.246,-0.103,0.2695292191952479,1.0972938807267336
241,9.12,-28.69,24.86,-0.046,-0.245,-0.092,0.26571601381926535,1.0817697496603023
242,9.42,-28.63,23.52,-0.017,-0.227,-0.102,0.24944338034912852,1.0155214179083547
243,9.79,-28.57,22.09,0.038,-0.204,-0.137,0.2486543786061287,1.012309273462341
244,10.27,-28.40,20.52,0.072,-0.192,-0.156,0.25765092664300665,1.0489355700026766
245,10.71,-28.13,18.99,0.091,-0.186,-0.144,0.2522161771179636,1.0268098894737976
246,11.14,-27.76,17.47,0.079,-0.197,-0.134,0.25100995996175135,1.021899198498284
247,11.57,-27.33,15.89,0.052,-0.205,-0.102,0.23480417372781087,0.9559230118719773
248,11.95,-26.94,14.28,0.049,-0.198,-0.097,0.2258627902067979,0.9195212983504052
249,12.33,-26.57,12.58,0.054,-0.182,-0.109,0.218908656749796,0.891209977926932
250,12.64,-26.21,10.92,0.075,-0.164,-0.114,0.21334713497021704,0.8685681885339991
251,12.92,-25.72,9.24,0.098,-0.129,-0.118,0.20042205467462906,0.8159482478886161
252,13.26,-25.05,7.47,0.115,-0.108,-0.12,0.19821453024437943,0.8069610848044053
253,13.41,-24.16,5.80,0.122,-0.074,-0.126,0.19035755829490986,0.7749741734523222
254,13.35,-23.22,4.31,0.133,-0.063,-0.114,0.18615584868598678,0.757868383377955
255,13.18,-22.31,2.96,0.146,-0.022,-0.091,0.17343874999549552,0.7060951670441615
256,13.01,-21.71,1.63,0.183,0.034,-0.075,0.20067386476569388,0.8169734045408545
257,12.91,-21.10,0.30,0.213,0.053,-0.084,0.23501914815605982,0.956798205015543
258,12.84,-20.43,-0.99,0.222,0.051,-0.107,0.2516624723712298,1.0245556743941322
259,12.67,-19.63,-2.20,0.218,0.043,-0.083,0.23719612138481522,0.9656609895757905
260,12.33,-18.79,-3.31,0.198,0.055,-0.038,0.2089808603676423,0.8507924296857269
261,11.87,-18.01,-4.32,0.156,0.072,0.001,0.17181676286090364,0.6994918141211679
262,10.75,-16.63,-6.03,0.137,0.137,0.039,0.19763349918472833,0.8045956202059068
263,10.27,-15.84,-6.71,0.14,0.132,0.034,0.1953970317072396,0.7954906256349284
264,9.93,-14.87,-7.43,0.103,0.087,0.035,0.13929465172791095,0.5670894213820846
265,9.71,-13.82,-8.24,0.065,0.058,0.048,0.09946356116689167,0.404931077044591
266,9.48,-12.91,-9.11,0.062,0.092,0.044,0.11934822998268554,0.4858845464940102
267,9.13,-12.31,-9.86,0.094,0.132,0.012,0.16249307677559682,0.661533689514971
268,8.84,-11.73,-10.59,0.117,0.116,-0.032,0.16783622970026466,0.6832864665442325
269,8.67,-10.97,-11.51,0.108,0.105,-0.016,0.1514760707174569,0.6166818053013746
270,8.45,-10.10,-12.40,0.049,0.116,0.028,0.129,0.52517835
271,8.26,-9.21,-13.10,0.022,0.094,0.068,0.11808471535300409,0.48074058890938265
272,7.99,-8.46,-13.65,-0.024,0.09,0.132,0.16155494421403513,0.6577144111369692
273,7.65,-7.91,-14.09,-0.054,0.092,0.177,0.20666155907667008,0.8413502062349855
274,7.34,-7.41,-14.52,-0.05,0.092,0.195,0.22133458834985553,0.9010863093605144
275,7.17,-6.84,-14.99,-0.022,0.1,0.181,0.20795432190748045,0.8466132376336392
276,7.14,-6.19,-15.51,-0.011,0.097,0.158,0.185725604050707,0.7561167929310358
